date,message,channelusername,url,channeltitle,views,forwards,postauthor,"fwdfrom.from_name"
"Mar 11, 2026 @ 04:35:25.000","Stuck in India for more than a week, Windies players finally head home

Travel disruptions after the T20 World Cup left teams like West Indies stranded in India due to West Asia airspace closures linked to the Israel–Iran conflict. With ICC charter flights delayed, Cricket West Indies arranged commercial flights to send players and staff home. Zimbabwe also faced similar issues and will return to Harare via Addis Ababa.
Read more...

@TOIworld",TOIWorld,"t.me/TOIWorld/377043","Times Of India",3,0,"-","-"
"Mar 10, 2026 @ 23:41:35.000","That is good 👍...I am Ethiopia 🇪🇹",presstv,"t.me/presstv/713186","Press TV","-","-","-","-"
"Mar 10, 2026 @ 17:09:57.000","#DireDawa #Harar

የኢፌዴሪ ጠቅላይ ሚኒስትር ዐብይ አህመድ (ዶ/ር) በድሬዳዋ እና ሐረር ከተሞች በመገኘት በከተማዎቹ  የተለያዩ አካባቢዎች የተሰሩ መሰረተ ልማቶችን ጎብኝተዋል። 

ጠቅላይ ሚኒስትሩ ድሬዳዋ እና ሃረር ከተሞች ሲገቡ በከተማዋ የተለያዩ አካባቢዎች ኢትዮጵያ እያራመደች የምትገኘውን #ቀይ_ባህርን አክሰስ የማድረግ ፤ የባህር በር የማግኘት አጀንዳዎችን የተመለከቱ የድጋፍ ድምጾችን የሚያሰሙ ነዋሪዎች ተስተውለዋል። 

"" አባይን የደፈረ ጀግና ቀይባህርን ይደግመዋል ገና ፤ ሐረርን የለወጠ ጀግና ቀይ ባህርን ይደግመዋል ገና "" ነዋሪዎች ካሰሟቸው የድጋፍ ድምጾች መካከል ናቸው። 

ጠ/ሚኒስትር ዐብይ አህመድ (ዶ/ር) በድሬዳዋ ቆይታቸው ከመደመር መጻሕፍት ሽያጭ እና ከድሬዳዋ ከተማ አስተዳደር በተገኘ በጀት የተገነባውን ‘እመርታ’ የተሰኘ ቤተመጻህፍት ጎብኝተዋል። 

በ1 ሺ ካሬ ሜትር ላይ ያረፈው ""እመርታ"" በአዲስ አበባ ከተማ እንደተገነባው ""አብርሆት"" ቤተ መጻሕፍት ለብዙ አገልግሎቶች የሚውል መሆኑን ተገልጿል። 

በጉብኝታቸው ወቅት ለድሬዳዋ ከተማ ከንቲባ፣ አመራሮችና ለመላው የድሬዳዋ ነዋሪዎች ባስተላለፉት መልዕክት ድሬዳዋ በተራሮች የተከበበች ከተማ እንደመሆኗ ከመልክዐ ምድሯ ጋር የተስማማ በዲዛይን የተደገፈ የቤት እና የመሰረት ልማት ግንባታ ካልተከናወነ ተራሮቿ በረከቶቿ እንደሆኑት ""ጥፋቶቿም ሊሆኑ ይችላሉ"" ሲሉ አሳስበዋል። 

ሃሳባቸውን ሲያብራሩም ""ጥፋቶቿ የሚሆኑት በትክክል እርከን ካልተሠራ፣ ዛፍ ካልተተከለ፣ የምንገነባቸው ቤቶች በዲዛይን ካልተገነቡ ዝም ብሎ እንደ ወፍ ዘራሽ የተረጨ ቤት ከሆነ፣ የትም ቦታ ቆመን ተራሮቹን ስለምናይ ፕላን ያልሆነ፣ በአደጋ ጊዜም ይሁን በደስታ ጊዜ መውጫ መግቢያው የሚታወቅ መንደር አይሆንም""ብለዋል። 

በተጨማሪም "" ትንሽ ከከተማ ወጣ ወጣ ያሉ(ተራሮቹ) ስለሆኑ አሁን እየተወረረ ያለበት መንገድ ፕላንድ (planned) አይደለም"" ያሉ ሲሆን ""ይሄ ከተስፋፋ ኃይለኛ ዝናብ ቢመጣ ላይ ያሉትም ይጎዳሉ፣ ታችም ጉዳት አለው "" ሲሉ አክለዋል። 

ተራሮቹ ጉዳት የሚሆኑበት ተጨማሪ ምክንያት ሲያብራሩም ""ከአካባቢው የሚዘንበው ዝናብ ተራሮቹን ታኮ ይመጣል፤ ድሬዳዋ ታች ስላለች"" ነው ያሉት። 

ይሄ የሚቀረፍበትን መንገድ ሲዘረዝሩም ""እርከን ተሠርቶ፣ ዛፍ ተተክሎ፣ ቤቶች ኦርደርሊ (orderly) ከተቀመጡ፣ ውሃ የሚፈስበት ሥርዓት ካለ ላይም አይጎዳም ታችም አይጎዳም""ሲሉ አክለዋል። 

ተራሮች የድሬዳዋ በረከት ሊሆኑ የሚችሉበትን ዕድል ሲያብራሩ ደግሞ የተራሮቹን ውበት በመጥቀስ  ‘በትክክል’ (Properly) የቤት ግንባታ ሥርዓት ብንከተል ድሬዳዋ አሁን ካለችበት ሦስት፣ አራት፣ አምስት እጥፍ የሰፋች፣ ያማረች፣ ለቱሪስት የምትመች እንደምትሆን ተናግረዋል። 

"" ታች ሲታይ አረንጓዴ ናት፣ ንጹሕ ናት፣ ከፍ ያለው ቦታ ግን በጣም የተዝረከረኩ ቤቶች ናቸው ያሉት እነዚህን ለሚቀጥለው ትውልድ ዕዳ አድርገን ማሸጋገር የለብንም "" ሲሉም አሳስበዋል። 

በተጨማሪ ምን አሉ ? 

"" አሁኑኑ አቅደን፣ መስመር አበጅተን ቤቶች የሚገነቡበትን፣ ዛፍ የሚተከልበትን፣ እርከን የሚሠራበትን ብናደርግ ለዐይን ውብ ነው፣ በቀጣይነት ላለው ዕድገት ምቹ ነው አልያ እዚህ አፍርሰን ሠርተን ደምቆ ቆይተን እዛ ማፍረስ ነው የምንገባው። 

እያፈረስን እንዳንኖር አንዳንዱን ምርጫ የሌለንን እንጠግናለን፣ እናፈርሳለን፣ እናሻሽላለን፤ የምንጀምራቸው ቦታዎች ግን በእውቀት፣ በዲዛይን መሆን አለበት። 

እሱን ማድረግ ከተቻለ እንዳያችሁት ድሬዳዋ ትልቅ ከተማ ናት፣ ብዙ ነገር ማስተናገድ ትችላለች ""ብለዋል።

ቪድዮ ፦ ከማህበራዊ ሚዲያ

ቲክቫህ ኢትዮጵያ
መጋቢት 1 ቀን 2018 ዓ/ም

@tikvahethiopia",tikvahethiopia,"t.me/tikvahethiopia/103948","TIKVAH-ETHIOPIA","338,274",41,"-","-"
"Mar 10, 2026 @ 16:43:20.000","UN Peacekeepers Refuse South Sudan Evacuation Order

The UN mission refused a military order to leave Akobo, an opposition-held town near Ethiopia where tens of thousands have fled, warning that a planned government assault could endanger civilians & worsen displacement.

READ MORE",ClashReport,"t.me/ClashReport/75031","Clash Report","5,382",8,"-","-"
"Mar 9, 2026 @ 04:28:32.000","Please my beloved IRAN people please please, Keep your leader in a safe place with Allah support, please Keep him From masod enjent please, I am proud of my beloved IRAN people, 
I am From Ethiopia 🇪🇹 wallah Proud of you, 🤲🤲🤲🤲",presstv,"t.me/presstv/709722","Press TV","-","-","-","-"
"Mar 8, 2026 @ 20:02:04.000","Why Gulf War Could Hurt Africa More Than COVID Ever Did: Ethiopian Economist

""An increase in energy prices will increase industrial products, transport and everything connected with energy,"" Costantinos Berhutesfa told Sputnik Africa.

Countries like Ethiopia may have to source fuel from Nigeria rather than the Gulf — upending long-term supply systems, the speaker added.

""These agreements are not just one-day, two-day agreements; these are agreements that are done on a futuristic basis,"" he added.

🌍With many African countries struggling to absorb the economic shock, youth-led unrest and military coups — already commonplace across the continent — risk intensifying further, the speaker noted.

""On the flip side, what I see is this might encourage countries to go to alternative sources of green energy, solar, wind, geothermal, hydropower,"" Berhutsefa said.

👉African countries must move quickly to be able to use capital they have at hand to purchase these alternative forms of green energy to break a fossil fuel dependency, he emphasized.

""Otherwise it will be very difficult to sustain their economies."" 

Subscribe to @sputnik_africa

🔸 Sputnik Africa | X 🔸","-","-","Sputnik Africa | Chat","4,736",14,"-","-"
"Mar 8, 2026 @ 20:02:01.000","Why Gulf War Could Hurt Africa More Than COVID Ever Did: Ethiopian Economist

""An increase in energy prices will increase industrial products, transport and everything connected with energy,"" Costantinos Berhutesfa told Sputnik Africa.

Countries like Ethiopia may have to source fuel from Nigeria rather than the Gulf — upending long-term supply systems, the speaker added.

""These agreements are not just one-day, two-day agreements; these are agreements that are done on a futuristic basis,"" he added.

🌍With many African countries struggling to absorb the economic shock, youth-led unrest and military coups — already commonplace across the continent — risk intensifying further, the speaker noted.

""On the flip side, what I see is this might encourage countries to go to alternative sources of green energy, solar, wind, geothermal, hydropower,"" Berhutsefa said.

👉African countries must move quickly to be able to use capital they have at hand to purchase these alternative forms of green energy to break a fossil fuel dependency, he emphasized.

""Otherwise it will be very difficult to sustain their economies."" 

Subscribe to @sputnik_africa

🔸 Sputnik Africa | X 🔸","sputnik_africa","t.me/sputnik_africa/61708","Sputnik Africa","4,613",14,"-","-"
"Mar 8, 2026 @ 18:01:18.000","US Repeating Mistakes That Could Lead to Unique Defiance: Ethiopian Political Analyst

Recent US actions in the Middle East risk turning international diplomacy into a ""politics of assassination,"" Mohammed Siraj told Sputnik Africa. Targeting elected leaders violates international law and destroys the trust crucial to global relations, he emphasized.

🇺🇸 He criticized Washington for underestimating Iran’s national pride and history, arguing that forcing negotiations through power only fuels resistance.

""If the international community accepts these actions as normal just because the superpower America has the strength and muscle, it sends a message that any country that does not obey America will be the next target. This could plunge the world into great instability and crisis.""

👉 Siraj noted a shift toward multipolarity, with Russia and China building alliances across politics, economics, and security, while Gulf countries seek strategic independence to protect their own interests. 

Subscribe to @sputnik_africa

🔸 Sputnik Africa | X 🔸","-","-","Sputnik Africa | Chat","3,167",8,"-","-"
"Mar 8, 2026 @ 18:01:15.000","US Repeating Mistakes That Could Lead to Unique Defiance: Ethiopian Political Analyst

Recent US actions in the Middle East risk turning international diplomacy into a ""politics of assassination,"" Mohammed Siraj told Sputnik Africa. Targeting elected leaders violates international law and destroys the trust crucial to global relations, he emphasized.

🇺🇸 He criticized Washington for underestimating Iran’s national pride and history, arguing that forcing negotiations through power only fuels resistance.

""If the international community accepts these actions as normal just because the superpower America has the strength and muscle, it sends a message that any country that does not obey America will be the next target. This could plunge the world into great instability and crisis.""

👉 Siraj noted a shift toward multipolarity, with Russia and China building alliances across politics, economics, and security, while Gulf countries seek strategic independence to protect their own interests. 

Subscribe to @sputnik_africa

🔸 Sputnik Africa | X 🔸","sputnik_africa","t.me/sputnik_africa/61697","Sputnik Africa","3,102",8,"-","-"
"Mar 8, 2026 @ 02:08:02.000","Here is my draft letter to President Trump:

Dear President Trump,
I am writing to you as a concerned American citizen from Morris, Illinois, deeply troubled by the catastrophic humanitarian crisis unfolding in Sudan. As we approach the grim milestone of over 1,000 days of brutal civil war between the Sudanese Armed Forces (SAF) and the Rapid Support Forces (RSF), Sudan has become the epicenter of the world’s worst humanitarian disaster. Nearly 34 million people—about 60% of the population, including vast numbers of children—require urgent aid, with famine confirmed and spreading in regions like North Darfur (Um Baru, Kernoi) and South Kordofan (Kadugli, Dilling). Acute malnutrition exceeds emergency thresholds, health systems have collapsed amid attacks on hospitals and disease outbreaks, and over 13-14 million people are displaced internally or as refugees to neighboring countries.
Civilians face relentless atrocities: indiscriminate drone strikes, airstrikes, and shelling on markets, shelters, and residential areas; widespread sexual violence including gang rape and enslavement used as weapons of war; summary executions, torture, arbitrary detentions, looting, and reports of mass graves (e.g., around 500 bodies near RSF bases in northern Khartoum). Both sides have violated international humanitarian law, with risks of genocidal patterns emerging in places like El Fasher and Kordofan. The conflict has triggered the largest hunger crisis globally, with WFP stocks depleting rapidly and rations cut to survival minimums—potentially leading to mass starvation deaths by the end of March 2026 if unchecked.
This is not merely a distant tragedy; it is a strategic threat to U.S. national security and global stability. Sudan’s location in the Nile Basin and Red Sea corridor makes it a pivotal arena for great-power competition. Foreign actors are fueling the war for their own gains:
•  The UAE backs the RSF through arms, logistics, and gold smuggling networks that finance atrocities.
•  Russia seeks a naval base at Port Sudan, providing military support to the SAF in exchange for concessions.
•  Iran supplies drones to the SAF, expanding its Red Sea influence.
•  Turkey, Egypt, Saudi Arabia, and others supply arms or backing, turning Sudan into a proxy battlefield and risking regional spillover (e.g., tensions with Ethiopia over alleged involvement, instability in South Sudan, Chad border clashes).
Without decisive U.S. leadership, rivals like China could re-enter via debt traps and oil infrastructure, while Russia and Iran entrench footholds—undermining American interests in trade routes, countering migration drivers, securing food/water/energy security, and preventing adversarial naval bases.
Your administration has already shown commitment through the Quad (U.S., Egypt, Saudi Arabia, UAE) diplomacy, humanitarian pledges (e.g., $200 million U.S. contribution at the February 2026 donor conference), and efforts to present peace plans. Recent developments, including UN sanctions on RSF leaders for atrocities and renewed diplomatic activity, offer openings—but contradictions among Quad members (some arming belligerents while pledging aid) have stalled progress, such as dashed hopes for a Ramadan truce.
I urge you to elevate Sudan as a top national security priority and take bold, America First actions to help end the suffering and secure U.S. advantages:",toresaysPlus,"t.me/toresaysPlus/6229275","ToreSays®+","-","-","-","-"
"Mar 8, 2026 @ 02:02:01.000","I entered the articles and the show from last night. These are the countries GROK highlighted. 

1. Russia (via Africa Corps, successor to Wagner Group)
•  Russia has shifted support between sides but increasingly backs the SAF (Sudanese Armed Forces) in exchange for strategic concessions.
•  Key concerns: Pursuit of a naval base at Port Sudan on the Red Sea (proposals for 300 troops, up to 4 warships including nuclear-powered ones, in 25-year deals). This would give Moscow a warm-water foothold, counter U.S./Western influence, and secure Red Sea access amid global shipping chokepoints.
•  Historical involvement: Wagner/Africa Corps supplied arms (e.g., surface-to-air missiles), trained forces, and engaged in gold mining/smuggling. Recent shifts include closing RSF supply routes (e.g., via CAR border) to favor SAF.
•  Risk to Sudan: Long-term Russian military presence could turn Sudan into a proxy outpost, limit sovereignty, and invite escalations (e.g., drone attacks on Port Sudan infrastructure already jeopardized plans).
2. Iran
•  Provides military support primarily to the SAF (e.g., Mohajer-6 drones since late 2023, turning the tide in some battles).
•  Motivations: Regain influence in Khartoum after past setbacks; expand Red Sea presence near Bab al-Mandab chokepoint (leveraging Houthi ties in Yemen); counter U.S./Gulf rivals.
•  Risk: Deepens proxy dynamics, supplies advanced weaponry that prolongs war, and ties Sudan to Iran’s “Axis of Resistance” network—potentially drawing in broader conflicts (e.g., Red Sea disruptions).
3. Turkey
•  Supplies drones (e.g., Bayraktar TB2, Akinci) and military support to the SAF.
•  Interests: Secure Red Sea port access (competing with UAE/Russia); counter rivals; project power in Africa/Horn.
•  Risk: Arms influx sustains fighting; Turkey’s involvement could complicate peace if tied to Islamist-leaning factions or regional rivalries.
4. Egypt
•  Strong backer of the SAF (military, political, financial support; e.g., fighter jets).
•  Reasons: Border security, Nile River water rights (as downstream state), counter Ethiopian/UAE influence, prevent spillover/chaos.
•  Risk: Egypt’s deep ties could pull Sudan into Egypt-Ethiopia tensions (e.g., GERD dam disputes); heavy involvement risks making Sudan a buffer zone.
5. Saudi Arabia
•  Provides financial/logistical/diplomatic support to the SAF (e.g., advising leadership, pushing in forums).
•  Stance: Positions as neutral mediator (hosted Jeddah talks) but implicitly favors SAF for stability and against Iranian/UAE proxies.
•  Risk: Gulf rivalry with UAE turns Sudan into proxy battleground; Saudi pressure (e.g., on overflights, arms deals) could escalate if UAE support for RSF continues.
6. Other Neighbors / Secondary Actors
•  Ethiopia and Eritrea: Logistics/backing for RSF (e.g., aligned with UAE influence).
•  Chad, South Sudan, Libya (via Haftar/LNA): Supply routes, mercenaries, indirect support (often RSF-leaning).
•  China: Economic/debt leverage (prior oil dominance); less direct military but could re-enter via reconstruction/debt traps if chaos persists.
•  Qatar and Algeria: Occasional financial/political leans toward SAF or stability.
These influences fuel the war economy (arms, gold smuggling, mercenaries) and make peace harder—external backers prolong fighting for leverage.",toresaysPlus,"t.me/toresaysPlus/6229262","ToreSays®+","-","-","-","-"
"Mar 8, 2026 @ 00:51:44.000","Abiy Ahmed is liar and his teacher is bibi babies killer and genocidal.",ClashReport,"t.me/ClashReport/451633","Clash Report","-","-","-","-"
"Mar 7, 2026 @ 14:36:39.000","🇪🇹 Fears of Renewed Conflict in Ethiopia

Female fighters from the Tigray region recount the devastating impact of the civil war, as tensions rise and fears grow that hostilities may resume. Reports suggest that the conflict has left lasting scars on communities, with many still grappling with the aftermath.

The Tigray conflict, which erupted in late 2020, saw widespread atrocities and humanitarian crises. As Ethiopia seeks to stabilize, the potential for renewed violence poses significant risks to regional stability, particularly given the involvement of various ethnic and political factions.

The situation underscores the fragile peace in Ethiopia, necessitating urgent attention from both national leaders and international stakeholders to prevent further escalation.

#Ethiopia

🔸Source

@africaintel",africaintel,"t.me/africaintel/13897","Africa Intel","1,952",11,"-","-"
"Mar 7, 2026 @ 14:06:03.000","Prime Minister Abiy Says Ethiopia Does Not Want War

Ethiopian Prime Minister Abiy Ahmed Ali said Ethiopia does not want war amid tension between federal & Tigrayan forces amassing near the Tigray border.

READ MORE",ClashReport,"t.me/ClashReport/74432","Clash Report","10,018",16,"-","-"
"Mar 7, 2026 @ 11:49:59.000","They claim to want an independent Oromia, which is currently the biggest region (state) in Ethiopia, even though the current government of Ethiopia is ruled mostly by Oromos.",ClashReport,"t.me/ClashReport/449340","Clash Report","-","-","-","-"
"Mar 7, 2026 @ 11:29:06.000","You from Ethiopia, bro?",ClashReport,"t.me/ClashReport/449314","Clash Report","-","-","-","-"
"Mar 7, 2026 @ 11:23:43.000","If only you had something in your palm where could ask how many Muslims are in Ethiopia  and get an answer",ClashReport,"t.me/ClashReport/449301","Clash Report","-","-","-","-"
"Mar 7, 2026 @ 11:07:49.000","Ethiopia is a Christian country",ClashReport,"t.me/ClashReport/449275","Clash Report","-","-","-","-"
"Mar 7, 2026 @ 10:54:14.000","Amnesty Documents Mass Sexual Violence by OLA Rebels in Ethiopia Conflict

Amnesty International says OLA rebels in Ethiopia’s Oromia region committed rape, sexual slavery & killings in Oromia between 2020 and 2024. The report warns the abuses may amount to war crimes in a conflict that began in 2019.

READ MORE",ClashReport,"t.me/ClashReport/74401","Clash Report","12,257",19,"-","-"
"Mar 7, 2026 @ 02:16:47.000","This is religious identity confirmation.
EFTA - Epstein to Sultan Bin Sulayem, May 26, 2017: Epstein writes directly to Sultan Ahmed Bin Sulayem - Chairman of DP World and one of the UAE’s most consequential power brokers - opening with “May Allah forgive all our sins” before extending personal wishes to Bin Sulayem’s family. This is the originating email that triggered the Abdulhak reply above. The same Islamic blessing language used privately to two separate Gulf figures, on the same day, during Ramadan, is a pattern not an anomaly.
B. The “S A” Contact Thread - Identified as Sheikh Ahmed Bin Sulayem - Horn of Africa, Gulf Operations, Trafficking Language
The redacted contact identified throughout this correspondence as “S A” has previously been identified in the Epstein files as Sheikh Ahmed Bin Sulayem - the same Sultan Ahmed Bin Sulayem, Chairman of DP World, who appears in Section A receiving Epstein’s Islamic blessing language on May 26, 2017. This identification closes a critical loop: the same UAE power broker Epstein was addressing as a trusted religious and cultural peer in formal correspondence is the same contact he was writing to about Ethiopian girls and trafficking-adjacent travel, using the same cousin register, on UAE Etisalat telecommunications infrastructure. These are not separate relationships. This is one relationship spanning years and operational contexts.
EFTA01873926 - Epstein to S A / Bin Sulayem, July 1, 2012: Epstein writes wishing him “easy ramadan” and in the same email states: “if you go to ethiopia, my very good friend that owns a modeling agency would love to go. as he thinks there are interesting girls there.” Ethiopia is a known source country for trafficking networks operating through Gulf transit routes. The “modeling agency” language is documented operational cover in trafficking recruitment. This is written in the same breath as a Ramadan greeting to one of the UAE’s most powerful figures.
EFTA01970819 - S A / Bin Sulayem to Epstein, June 7, 2013: Bin Sulayem writes: “Welcome dear cousin, am in Somali land hope go back to dubai Saturday evening, Insha Allah.” Somaliland operational geography - another Horn of Africa location on the Gulf trafficking corridor. Dubai as the return destination. The Etisalat mobile carrier signature confirms UAE-based telecommunications infrastructure. The Chairman of DP World - one of the world’s largest port operators with facilities across East Africa - is operating in Somaliland and returning to Dubai, maintaining cousin-register communication with Epstein throughout.
EFTA01873926 follow - S A / Bin Sulayem to Epstein, July 2, 2012: Bin Sulayem replies moving from Epstein’s location to Yemen. Yemen, Somalia, Dubai, Ethiopia - this contact’s documented geography maps precisely onto the Gulf-connected trafficking and operational corridor that runs through the Horn of Africa. DP World operates port infrastructure across several of these locations. The overlap between Bin Sulayem’s corporate footprint and his personal operational geography in these emails is not incidental.
C. Qatari Royal Network - Al Thani Correspondence
EFTA01042894 - Jabor Al Thani to Epstein, Jun 3, 2018: Jabor Yousuf Jasssim Al Thani emails Epstein directly, attaching a PDF titled “brotherhood.pdf” with the note “An interesting reading on Muslim Brotherhood.” A Qatari royal sending Epstein curated reading material specifically on the Muslim Brotherhood indicates Epstein was being kept politically and ideologically oriented on Gulf internal dynamics. This is not small talk between business contacts.
EFTA01829163 - Epstein to Tom Pritzker re: Al Thani, Jul 16, 2009: Epstein writes: “al thani is clever, I would like to know what he thinks of the dollar, and of gold.” Al Thani is being positioned as a strategic financial intelligence source whose views Epstein is actively mining and routing to other high-net-worth western contacts. That is intelligence brokering, not social networking.","COMBAT_FOOTAGE","t.me/COMBAT_FOOTAGE/731096","COMBAT_FOOTAGE🦅","-","-","-","-"
"Mar 6, 2026 @ 20:44:55.000","የብሔራዊ ምርጫ ቦርድ ፤ የምርጫ  ቁሳቁስ ማጓጓዣ መላክ ያለባቸው ክልሎች መሆናቸውንና ያላቀረቡ ክልሎች እንዳሉ ገልጿል።

የቦርዱ ሰብሳቢ ሜላተወርቅ ሀይሉ ፤ "" የትራንስፖርት አቅርቦት፣ የነዳጅ አቅርቦት ችግር ገጥሞናል "" ብለዋል።

ትራንስፖርት ያላቀረቡት የትኞቹ ክልሎች ናቸው ? ሲሉ ቲክቫህ ኢትዮጵያ ዋና ሰብሳቢዋን ማብራሪያ ጠይቋል።

"" በዚህ ደረጃ ክልል መጥቀስ ብዙ አስፈላጊ አይደለም "" ያሉት ሰብሳቢዋ "" የትኛው ክልል እንደላከ፣ የትኛው እንዳልላከ ራሳቸው ያውቃሉ፤ እንዲያግዙን በደብዳቤ አሳውቀናል "" ብለዋል።

በተያያዘ፣ የፌዴሬሽን ምክር ቤት "" አወዛጋቢ "" በተባሉ የራያ እና ወልቃይት አካባቢዎች ከትግራይ ክልል ውጭ ሆነው ምርጫ እንዲያካሂዱ በመወሰኑ ቦርዱም ይህንኑ ውሳኔ እንደሚያስፈጽም በመግለጹ ስምረት ፓርቲ ቦርዱን ከሶ፣ የፌደራሉ ከፍተኛ ፍ/ቤት እግድ ጥሎ ነበር።

የቦርዱ ዋና ሰብሳቢ ወ/ሮ ሜላትወርቅ ስለዚሁ ጉዳይ ተጠይቀው፣ "" በፍ/ቤት የተያዘውን ጉዳይ ስለሆነ ፍርድ ቤቱ ውሳኔ እስከሚሰጥ ድረስ ቦርዱ በዚህ ጉዳይ አስተያየት መስጠት አይችልም "" ሲሉ መልሰዋል።

ቲክቫህ ኢትዮጵያ
የካቲት 27 ቀን 2018 ዓ/ም

@tikvahethiopia",tikvahethiopia,"t.me/tikvahethiopia/103846","TIKVAH-ETHIOPIA","293,903",41,"-","-"
"Mar 6, 2026 @ 19:50:19.000",""" 10 ሺሕ 934  እጩዎች ተመዝግበዋል "" - ወ/ሮ ሜላትወርቅ ሀይሉ

⛽️"" የትራንስፖርት አቅርቦት፣ የነዳጅ አቅርቦት ችግር ገጥሞናል! ""

የኢትዮጵያ ብሔራዊ ምርጫ ቦርድ ለ7ኛው ጠቅላላ ምርጫ ከ10 ሺሕ በላይ እጩዎች መመዝገባቸውን ገለጸ።

የቦርዱ ዋና ሰብሳቢ የሆኑት ወ/ሮ ሜላትወርቅ ሀይሉ የእጩዎች ምዝገባ ከጥር 1 ቀን  ጀምሮ እስከ የካቲት 16 2018 ዓ/ም ሲከናወን መቆየቱን አስታውሰው፣ "" 10 ሺሕ 934  እጩዎች ተመዝግበዋል "" ብለዋል።

ከእነዚህ ውስጥ ለህዝብ ተወካዮች ምክር ቤት 2 ሺሕ 98፣ ለክልል ምክር ቤት 8 ሺሕ 736 የተመዘገቡ መሆናቸውን ዋና ሰብሳቢዋ ገልጸዋል።

2 ሺሕ 760 ሴቶች፣ 8 ሺሕ 174 ደግሞ ወንዶች እጩዎች መሆናቸውን አብራርተዋል።

በዚህ የምዝገባ ሂደት በአጠቃላይ 47 የፖለቲካ ፓርቲዎች እጩዎቻቸውን ማስዝገባቸውንም ገልጸዋል።

በተያያዘ መረጃ፣ ወደ 73 የግል ተወዳዳሪ እጩዎች መመዝገባቸውን  የገለጹት ወ/ሮ ሜላት ወርቅ፣ ከእነዚህ መካከል 69ኙ ወንዶች፣ 4ቱ ደግሞ ሴቶች መሆናቸውን ተናግረዋል።

በሌላ በኩል፣ ከነገ ጀምሮ እስከ መጋቢት 28 ቀን 2018 ዓ/ም ድረስ የመራጮች ምዝገባ እንደሚካሄድ ጠቁዋል። ለዚህም ቦርዱ ዝግጅቱን ማጠናቀቁን ገልጸዋል።

ምርጫ ቦርድ የምርጫ ቁሳቁስ ለማጓጓዝ ችግሮች እንዳጋጠሟቸው የገለጹት ለዚህም በተለይ የነዳጅና የትራንስፖርት ችግር እንደገጣቸው ተናግረዋል።

ለምርጫ ቁሳቁስ ማጓጓዣ መላክ ያለባቸው ክልሎች መሆናቸውን እና ያላቀረቡላቸው ክልሎች እንዳሉ ገልጸው፣ ""የትራንስፖርት አቅርቦት፣ የነዳጅ አቅርቦት ችግር ገጥሞናል"" ብለዋል።

የጸጥታ ሁኔታ በተመለከተ በአንዳንድ አካባቢዎች በቢጫ በተመደቡ የምርጫ ጣቢዎች ቁሳቁስ ለመላክ ችግሮች እያጋጠሙ መሆኑን ገልጸዋል።

ቲክቫህ ኢትዮጵያ
አዲስ አበባ
#TikvahEthiopiaFamilyAA

@tikvahethiopia",tikvahethiopia,"t.me/tikvahethiopia/103840","TIKVAH-ETHIOPIA","265,150",45,"-","-"
"Mar 6, 2026 @ 17:48:48.000","‼️Thousands of military aged men from Zimbabwe, Nigeria, Congo, Somalia, Ethiopia, Malawi, Mozambique, Uganda, Tanzania, Burundi & Bangladesh begging asylum outside home affairs office. 

No women/children, just men flooding SA since 90s",saviolence1,"t.me/saviolence1/44994","South Africa's violence project",121,1,"-","-"
"Mar 6, 2026 @ 14:26:34.000","Border Infiltration Claims Raise Ethiopia-Eritrea Tensions

Ethiopia accuses Eritrea of supporting militant groups and infiltrating Tigray as tensions rise along the Ethiopia-Eritrea border. Military movements & local reports raise fears of renewed conflict after the 2020-2022 war that killed at least 600,000.

READ MORE",ClashReport,"t.me/ClashReport/74264","Clash Report","9,158",30,"-","-"
"Mar 6, 2026 @ 04:22:03.000","AND ALL AFRICA UNDER ETHIOPIAN PRINCESSES she rules over them…they lovers of ALMIGHTY",presstv,"t.me/presstv/701777","Press TV","-","-","-","-"
